medcode,READcode,Readterm,IHD,MI,Hypertension,AF,CVA,Diabetes,Iron_deficiency,Asthma,COPD,Cancer,Depression,Dementia
12229,G30X000,acute st segment elevation myocardial infarction,1,1,,,,,,,,,,
39904,3232,ecg: old myocardial infarction,1,1,,,,,,,,,,
16408,G32..11,healed myocardial infarction,1,1,,,,,,,,,,
9507,G307000,acute non-q wave infarction,1,1,,,,,,,,,,
35674,14A3.00,h/o: myocardial infarct <60,1,1,,,,,,,,,,
34803,G30y.00,other acute myocardial infarction,1,1,,,,,,,,,,
17689,G30..17,silent myocardial infarction,1,1,,,,,,,,,,
30421,G30..13,cardiac rupture following myocardial infarction (mi),1,1,,,,,,,,,,
15661,G310.11,dressler's syndrome,1,1,,,,,,,,,,
96838,Gyu3400,[x]acute transmural myocardial infarction of unspecif site,1,1,,,,,,,,,,
1677,G30..15,mi - acute myocardial infarction,1,1,,,,,,,,,,
39449,G312.00,coronary thrombosis not resulting in myocardial infarction,1,1,,,,,,,,,,
1204,G30..14,heart attack,1,1,,,,,,,,,,
10562,G307100,acute non-st segment elevation myocardial infarction,1,1,,,,,,,,,,
62626,G30y100,acute papillary muscle infarction,1,1,,,,,,,,,,
7783,323..00,ecg: myocardial infarction,1,1,,,,,,,,,,
2491,G30..12,coronary thrombosis,1,1,,,,,,,,,,
14898,G305.00,lateral myocardial infarction nos,1,1,,,,,,,,,,
32854,G30B.00,acute posterolateral myocardial infarction,1,1,,,,,,,,,,
36423,G36..00,certain current complication follow acute myocardial infarct,1,1,,,,,,,,,,
37657,G362.00,ventric septal defect/curr comp fol acut myocardal infarctn,1,1,,,,,,,,,,
59032,323Z.00,ecg: myocardial infarct nos,1,1,,,,,,,,,,
18842,G35..00,subsequent myocardial infarction,1,1,,,,,,,,,,
29758,G30X.00,acute transmural myocardial infarction of unspecif site,1,1,,,,,,,,,,
63467,G306.00,true posterior myocardial infarction,1,1,,,,,,,,,,
41221,G30y200,acute septal infarction,1,1,,,,,,,,,,
20095,G330.00,angina decubitus,1,,,,,,,,,,,
7320,G343.00,ischaemic cardiomyopathy,1,,,,,,,,,,,
737,792..11,coronary artery bypass graft operations,1,,,,,,,,,,,
22383,G3y..00,other specified ischaemic heart disease,1,,,,,,,,,,,
39693,G31y200,subendocardial ischaemia,1,,,,,,,,,,,
31413,J083300,ludwig's angina,1,,,,,,,,,,,
19542,662K000,angina control - good,1,,,,,,,,,,,
95550,8H2V.00,admit ischaemic heart disease emergency,1,,,,,,,,,,,
1676,G3z..00,ischaemic heart disease nos,1,,,,,,,,,,,
57962,388F.00,cardiovascular limitations and symptoms profile angina score,1,,,,,,,,,,,
1431,G311.13,unstable angina,1,,,,,,,,,,,
107967,661M000,angina self-management plan agreed,1,,,,,,,,,,,
7696,G33z200,syncope anginosa,1,,,,,,,,,,,
45476,14AL.00,h/o: treatment for ischaemic heart disease,1,,,,,,,,,,,
54251,G311z00,preinfarction syndrome nos,1,,,,,,,,,,,
24176,A340000,streptococcal angina,1,,,,,,,,,,,
101121,8L40.00,coronary artery bypass graft operation planned,1,,,,,,,,,,,
10260,6A4..00,coronary heart disease review,1,,,,,,,,,,,
17307,G311200,angina at rest,1,,,,,,,,,,,
9413,G31y.00,other acute and subacute ischaemic heart disease,1,,,,,,,,,,,
1430,G33..00,angina pectoris,1,,,,,,,,,,,
68401,Gyu3200,[x]other forms of acute ischaemic heart disease,1,,,,,,,,,,,
15349,662Kz00,angina control nos,1,,,,,,,,,,,
32450,G33z400,ischaemic chest pain,1,,,,,,,,,,,
25842,G33z.00,angina pectoris nos,1,,,,,,,,,,,
240,G3...00,ischaemic heart disease,1,,,,,,,,,,,
105479,G39..00,coronary microvascular disease,1,,,,,,,,,,,
12986,G331.00,prinzmetal's angina,1,,,,,,,,,,,
15373,662K100,angina control - poor,1,,,,,,,,,,,
47637,Gyu3300,[x]other forms of chronic ischaemic heart disease,1,,,,,,,,,,,
27977,G31yz00,other acute and subacute ischaemic heart disease nos,1,,,,,,,,,,,
108504,662K400,angina self management plan commenced,1,,,,,,,,,,,
19655,G311.14,angina at rest,1,,,,,,,,,,,
114579,G701000,atherosclerotic renal artery stenosis,1,,,,,,,,,,,
18135,6A2..00,coronary heart disease annual review,1,,,,,,,,,,,
108506,662K500,angina self management plan completed,1,,,,,,,,,,,
5096,AA1..00,vincent's angina,1,,,,,,,,,,,
59189,G363.00,ruptur cardiac wall w'out haemopericard/cur comp fol ac mi,1,,,,,,,,,,,
17586,J421.11,angina - abdominal,1,,,,,,,,,,,
20416,G3...12,atherosclerotic heart disease,1,,,,,,,,,,,
18118,G311400,worsening angina,1,,,,,,,,,,,
14782,662K200,angina control - improving,1,,,,,,,,,,,
11171,G670.00,cerebral atherosclerosis,1,,,,,,,,,,,
1655,G340.11,triple vessel disease of the heart,1,,,,,,,,,,,
107071,G701011,aras - atherosclerotic renal artery stenosis,1,,,,,,,,,,,
57910,ZR3P.11,clasp angina score,1,,,,,,,,,,,
36854,G332.00,coronary artery spasm,1,,,,,,,,,,,
1414,G33z300,angina on effort,1,,,,,,,,,,,
4656,G311.11,crescendo angina,1,,,,,,,,,,,
34328,G311300,refractory angina,1,,,,,,,,,,,
41677,G341z00,aneurysm of heart nos,1,,,,,,,,,,,
26863,G33z600,new onset angina,1,,,,,,,,,,,
52637,388E.00,canadian cardiovascular society classification of angina,1,,,,,,,,,,,
5030,ZV45K00,[v]presence of coronary artery bypass graft,1,,,,,,,,,,,
7347,G311100,unstable angina,1,,,,,,,,,,,
29421,G344.00,silent myocardial ischaemia,1,,,,,,,,,,,
59350,ZR37.00,canadian cardiovascular society classification of angina,1,,,,,,,,,,,
51043,ZRBN.00,duke's coronary artery disease score,1,,,,,,,,,,,
100496,8CEJ.00,coronary heart disease leaflet given,1,,,,,,,,,,,
1318,G700.00,aortic atherosclerosis,1,,,,,,,,,,,
29902,G330z00,angina decubitus nos,1,,,,,,,,,,,
5413,G340.00,coronary atherosclerosis,1,,,,,,,,,,,
1792,G3...13,ihd - ischaemic heart disease,1,,,,,,,,,,,
37199,G70y000,carotid artery atherosclerosis,1,,,,,,,,,,,
41229,F421100,atherosclerotic retinopathy,1,,,,,,,,,,,
27951,G31..00,other acute and subacute ischaemic heart disease,1,,,,,,,,,,,
105250,G341111,mural cardiac aneurysm,1,,,,,,,,,,,
28554,G33zz00,angina pectoris nos,1,,,,,,,,,,,
6336,14A5.00,h/o: angina pectoris,1,,,,,,,,,,,
29300,662K300,angina control - worsening,1,,,,,,,,,,,
15754,G34z.00,other chronic ischaemic heart disease nos,1,,,,,,,,,,,
1344,G340.12,coronary artery disease,1,,,,,,,,,,,
13185,662K.00,angina control,1,,,,,,,,,,,
54535,G33z100,stenocardia,1,,,,,,,,,,,
12734,SP07600,coronary artery bypass graft occlusion,1,,,,,,,,,,,
3999,G340000,single coronary vessel disease,1,,,,,,,,,,,
2155,G341000,ventricular cardiac aneurysm,1,,,,,,,,,,,
39584,3889,euroscore for angina,1,,,,,,,,,,,
29553,G366.00,"thrombosis atrium,auric append&vent/curr comp foll acute mi",1,,,,,,,,,,,
16284,G701.00,renal artery atherosclerosis,1,,,,,,,,,,,
39655,G311.12,impending infarction,1,,,,,,,,,,,
102134,J08zD00,angina bullosa haemorrhagica,1,,,,,,,,,,,
9607,A740.00,herpangina,1,,,,,,,,,,,
5674,ZV45K11,[v]presence of coronary artery bypass graft - cabg,1,,,,,,,,,,,
52517,Gyu3.00,[x]ischaemic heart diseases,1,,,,,,,,,,,
34633,G34y.00,other specified chronic ischaemic heart disease,1,,,,,,,,,,,
91774,G341300,acquired atrioventricular fistula of heart,1,,,,,,,,,,,
36609,G342.00,atherosclerotic cardiovascular disease,1,,,,,,,,,,,
11048,G331.11,variant angina pectoris,1,,,,,,,,,,,
103655,187..00,frequency of angina,1,,,,,,,,,,,
28138,G34..00,other chronic ischaemic heart disease,1,,,,,,,,,,,
21844,G31y300,transient myocardial ischaemia,1,,,,,,,,,,,
72176,AA1z.00,vincent's angina nos,1,,,,,,,,,,,
5640,G70..00,atherosclerosis,1,,,,,,,,,,,
12804,G33z700,stable angina,1,,,,,,,,,,,
35713,G34yz00,other specified chronic ischaemic heart disease nos,1,,,,,,,,,,,
18889,G34z000,asymptomatic coronary heart disease,1,,,,,,,,,,,
59193,G341200,aneurysm of coronary vessels,1,,,,,,,,,,,
5184,G670.11,precerebral atherosclerosis,1,,,,,,,,,,,
18125,G330000,nocturnal angina,1,,,,,,,,,,,
103932,8CMP.00,coronary heart disease care plan,1,,,,,,,,,,,
5254,G340100,double coronary vessel disease,1,,,,,,,,,,,
8568,G37..00,cardiac syndrome x,1,,,,,,,,,,,
66388,G33z000,status anginosus,1,,,,,,,,,,,
23078,G34y100,chronic myocardial ischaemia,1,,,,,,,,,,,
24783,G3...11,arteriosclerotic heart disease,1,,,,,,,,,,,
27484,G341.11,cardiac aneurysm,1,,,,,,,,,,,
11648,8B3k.00,coronary heart disease medication review,1,,,,,,,,,,,
24540,G34y000,chronic coronary insufficiency,1,,,,,,,,,,,
9276,G31y000,acute coronary insufficiency,1,,,,,,,,,,,
109391,661N000,angina self-management plan review,1,,,,,,,,,,,
6331,G341.00,aneurysm of heart,1,,,,,,,,,,,
98295,ZRB1.00,euroscore for angina,1,,,,,,,,,,,
55673,ZR3P.00,clasp angina score,1,,,,,,,,,,,
36523,G311.00,preinfarction syndrome,1,,,,,,,,,,,
67087,G341100,other cardiac wall aneurysm,1,,,,,,,,,,,
100579,Gyu7000,[x]atherosclerosis of other arteries,1,,,,,,,,,,,
45960,8B27.00,antianginal therapy,1,,,,,,,,,,,
57062,14AJ.00,h/o: angina in last year,1,,,,,,,,,,,
39546,Gyu3000,[x]other forms of angina pectoris,1,,,,,,,,,,,
18057,8B26.00,antihypertensive therapy,,,1,,,,,,,,,
61660,G211000,benign hypertensive heart disease without ccf,,,1,,,,,,,,,
83473,G203.00,diastolic hypertension,,,1,,,,,,,,,
15106,G22z.00,hypertensive renal disease nos,,,1,,,,,,,,,
52127,G211100,benign hypertensive heart disease with ccf,,,1,,,,,,,,,
68659,G23z.00,hypertensive heart and renal disease nos,,,1,,,,,,,,,
102406,662P000,hypertension 9 month review,,,1,,,,,,,,,
27525,9OI..11,hypertension clinic admin.,,,1,,,,,,,,,
42229,G24zz00,secondary hypertension nos,,,1,,,,,,,,,
13188,662G.00,hypertensive treatm.changed,,,1,,,,,,,,,
97533,Gyu2100,[x]hypertension secondary to other renal disorders,,,1,,,,,,,,,
39649,G220.00,malignant hypertensive renal disease,,,1,,,,,,,,,
1894,G201.00,benign essential hypertension,,,1,,,,,,,,,
7329,G24..00,secondary hypertension,,,1,,,,,,,,,
43935,G221.00,benign hypertensive renal disease,,,1,,,,,,,,,
102458,Gyu2000,[x]other secondary hypertension,,,1,,,,,,,,,
95359,662r.00,trial withdrawal of antihypertensive therapy,,,1,,,,,,,,,
37086,F404200,blind hypertensive eye,,,1,,,,,,,,,
3425,662O.00,on treatment for hypertension,,,1,,,,,,,,,
85944,7Q01.00,high cost hypertension drugs,,,1,,,,,,,,,
26347,G8y3.00,chronic peripheral venous hypertension,,,1,,,,,,,,,
109797,G251.00,stage 1 hyperten (nice 2011) with evidnce end organ damge,,,1,,,,,,,,,
73293,G240z00,secondary malignant hypertension nos,,,1,,,,,,,,,
17434,G22..11,nephrosclerosis,,,1,,,,,,,,,
105938,G211z00,benign hypertensive heart disease nos,,,1,,,,,,,,,
31755,G240.00,secondary malignant hypertension,,,1,,,,,,,,,
32423,G222.00,hypertensive renal disease with renal failure,,,1,,,,,,,,,
50157,G210.00,malignant hypertensive heart disease,,,1,,,,,,,,,
66645,9OI9.00,hypertens.monitor deleted,,,1,,,,,,,,,
21660,TJC7.00,adverse reaction to other antihypertensives,,,1,,,,,,,,,
8732,G2...11,bp - hypertensive disease,,,1,,,,,,,,,
67232,G230.00,malignant hypertensive heart and renal disease,,,1,,,,,,,,,
21826,662F.00,hypertension treatm. started,,,1,,,,,,,,,
31816,G672.11,hypertensive crisis,,,1,,,,,,,,,
16292,G21..00,hypertensive heart disease,,,1,,,,,,,,,
98230,67H8.00,lifestyle advice regarding hypertension,,,1,,,,,,,,,
51635,G241z00,secondary benign hypertension nos,,,1,,,,,,,,,
34281,9N4L.00,dna - did not attend hypertension clinic,,,1,,,,,,,,,
44350,U60C51A,[x] adverse reaction to antihypertensives nos,,,1,,,,,,,,,
351,G20..11,high blood pressure,,,1,,,,,,,,,
95334,G210000,malignant hypertensive heart disease without ccf,,,1,,,,,,,,,
10976,9h32.00,excepted from hypertension qual indicators: informed dissent,,,1,,,,,,,,,
7057,G2z..00,hypertensive disease nos,,,1,,,,,,,,,
31387,G24z000,secondary renovascular hypertension nos,,,1,,,,,,,,,
110631,661N600,hypertension self-management plan review,,,1,,,,,,,,,
4372,G202.00,systolic hypertension,,,1,,,,,,,,,
30776,6629,hypertension:follow-up default,,,1,,,,,,,,,
105371,G25..00,stage 1 hypertension (nice - nat ins for hth clin excl 2011),,,1,,,,,,,,,
105989,G26..00,severe hypertension (nat inst for health clinical ex 2011),,,1,,,,,,,,,
19070,662d.00,hypertension annual review,,,1,,,,,,,,,
63000,G231.00,benign hypertensive heart and renal disease,,,1,,,,,,,,,
27511,6628,poor hypertension control,,,1,,,,,,,,,
29310,G22z.11,renal hypertension,,,1,,,,,,,,,
31464,G21z.00,hypertensive heart disease nos,,,1,,,,,,,,,
105316,G25..11,stage 1 hypertension,,,1,,,,,,,,,
72668,G210100,malignant hypertensive heart disease with ccf,,,1,,,,,,,,,
116055,G285,,,,1,,,,,,,,,
799,G20..00,essential hypertension,,,1,,,,,,,,,
3712,G20z.11,hypertension nos,,,1,,,,,,,,,
22333,8I3N.00,hypertension treatment refused,,,1,,,,,,,,,
62718,G21z100,hypertensive heart disease nos with ccf,,,1,,,,,,,,,
107704,G20..12,primary hypertension,,,1,,,,,,,,,
4668,G22..00,hypertensive renal disease,,,1,,,,,,,,,
18482,662c.00,hypertension six month review,,,1,,,,,,,,,
18765,G2y..00,other specified hypertensive disease,,,1,,,,,,,,,
32976,6146200,hypertension induced by oral contraceptive pill,,,1,,,,,,,,,
2666,14A2.00,h/o: hypertension,,,1,,,,,,,,,
28684,G233.00,hypertensive heart and renal disease with renal failure,,,1,,,,,,,,,
57288,G241.00,secondary benign hypertension,,,1,,,,,,,,,
10961,9h31.00,excepted from hypertension qual indicators: patient unsuit,,,1,,,,,,,,,
27634,9N1y200,seen in hypertension clinic,,,1,,,,,,,,,
16565,6627,good hypertension control,,,1,,,,,,,,,
8857,G21z011,cardiomegaly - hypertensive,,,1,,,,,,,,,
204,G2...00,hypertensive disease,,,1,,,,,,,,,
16173,G21zz00,hypertensive heart disease nos,,,1,,,,,,,,,
10818,G20z.00,essential hypertension nos,,,1,,,,,,,,,
101649,7Q01y00,other specified high cost hypertension drugs,,,1,,,,,,,,,
6702,F421300,hypertensive retinopathy,,,1,,,,,,,,,
105274,G28..00,stage 2 hypertension (nice - nat ins for hth clin excl 2011),,,1,,,,,,,,,
61166,G21z000,hypertensive heart disease nos without ccf,,,1,,,,,,,,,
30770,U60C511,[x] adverse reaction to other antihypertensives,,,1,,,,,,,,,
105487,G26..11,severe hypertension,,,1,,,,,,,,,
105480,G27..00,hypertension resistant to drug therapy,,,1,,,,,,,,,
63164,U60C500,"[x]oth antihyperten drug caus advers eff in therap use, nec",,,1,,,,,,,,,
63466,G23..00,hypertensive heart and renal disease,,,1,,,,,,,,,
31341,G24z100,hypertension secondary to drug,,,1,,,,,,,,,
25371,G241000,secondary benign renovascular hypertension,,,1,,,,,,,,,
21837,G232.00,hypertensive heart&renal dis wth (congestive) heart failure,,,1,,,,,,,,,
5129,J623.00,portal hypertension,,,1,,,,,,,,,
18590,662b.00,moderate hypertension control,,,1,,,,,,,,,
108136,G250.00,stage 1 hyperten (nice 2011) without evidnce end organ damge,,,1,,,,,,,,,
69753,Gyu2.00,[x]hypertensive diseases,,,1,,,,,,,,,
103046,G210z00,malignant hypertensive heart disease nos,,,1,,,,,,,,,
12680,8CR4.00,hypertension clinical management plan,,,1,,,,,,,,,
11056,8BL0.00,patient on maximal tolerated antihypertensive therapy,,,1,,,,,,,,,
34744,G244.00,hypertension secondary to endocrine disorders,,,1,,,,,,,,,
52427,G211.00,benign hypertensive heart disease,,,1,,,,,,,,,
12948,662H.00,hypertension treatm.stopped,,,1,,,,,,,,,
109611,661M600,hypertension self-management plan agreed,,,1,,,,,,,,,
15377,G200.00,malignant essential hypertension,,,1,,,,,,,,,
57987,G234.00,hyperten heart&renal dis+both(congestv)heart and renal fail,,,1,,,,,,,,,
3979,G672.00,hypertensive encephalopathy,,,1,,,,,,,,,
59383,G240000,secondary malignant renovascular hypertension,,,1,,,,,,,,,
16059,G24z.00,secondary hypertension nos,,,1,,,,,,,,,
4344,9N03.00,seen in hypertension clinic,,,1,,,,,,,,,
20497,TJC7z00,adverse reaction to antihypertensives nos,,,1,,,,,,,,,
105554,8CMW200,atrial fibrillation care pathway,,,,1,,,,,,,,
45773,6A9..00,atrial fibrillation annual review,,,,1,,,,,,,,
90190,9Os3.00,atrial fibrillation monitoring verbal invite,,,,1,,,,,,,,
90191,9Os4.00,atrial fibrillation monitoring telephone invite,,,,1,,,,,,,,
39114,9hF1.00,excepted from atrial fibrillation qual indic: inform dissent,,,,1,,,,,,,,
2212,G573.00,atrial fibrillation and flutter,,,,1,,,,,,,,
23437,G573z00,atrial fibrillation and flutter nos,,,,1,,,,,,,,
1664,G573000,atrial fibrillation,,,,1,,,,,,,,
90187,9Os0.00,atrial fibrillation monitoring first letter,,,,1,,,,,,,,
3757,3272,ecg: atrial fibrillation,,,,1,,,,,,,,
111876,G573700,,,,,1,,,,,,,,
111893,G573900,,,,,1,,,,,,,,
112181,G573800,,,,,1,,,,,,,,
96277,G573400,permanent atrial fibrillation,,,,1,,,,,,,,
90188,9Os1.00,atrial fibrillation monitoring second letter,,,,1,,,,,,,,
107936,8OAD.00,provision of written information about atrial fibrillation,,,,1,,,,,,,,
1268,G573200,paroxysmal atrial fibrillation,,,,1,,,,,,,,
57832,9Os..00,atrial fibrillation monitoring administration,,,,1,,,,,,,,
90189,9Os2.00,atrial fibrillation monitoring third letter,,,,1,,,,,,,,
63350,9hF..00,exception reporting: atrial fibrillation quality indicators,,,,1,,,,,,,,
96076,G573500,persistent atrial fibrillation,,,,1,,,,,,,,
9479,7936A00,implant intravenous pacemaker for atrial fibrillation,,,,1,,,,,,,,
18746,662S.00,atrial fibrillation monitoring,,,,1,,,,,,,,
1757,G573100,atrial flutter,,,,1,,,,,,,,
35127,G573300,non-rheumatic atrial fibrillation,,,,1,,,,,,,,
6345,14AN.00,h/o: atrial fibrillation,,,,1,,,,,,,,
32959,9N0p.00,seen in stroke clinic,,,,,1,,,,,,,
17322,G664.00,cerebellar stroke syndrome,,,,,1,,,,,,,
9985,G64z200,left sided cerebral infarction,,,,,1,,,,,,,
18686,662e.00,stroke/cva annual review,,,,,1,,,,,,,
27975,G641000,cerebral infarction due to embolism of cerebral arteries,,,,,1,,,,,,,
9696,G604.00,subarachnoid haemorrhage from posterior communicating artery,,,,,1,,,,,,,
45781,G63..00,precerebral arterial occlusion,,,,,1,,,,,,,
18687,9N4X.00,dna - did not attend stroke clinic,,,,,1,,,,,,,
46316,G612.00,basal nucleus haemorrhage,,,,,1,,,,,,,
18912,G623.00,subdural haemorrhage nos,,,,,1,,,,,,,
107440,G619.00,.,,,,,1,,,,,,,
57495,G63..11,infarction - precerebral,,,,,1,,,,,,,
40338,G611.00,internal capsule haemorrhage,,,,,1,,,,,,,
51326,G63y.00,other precerebral artery occlusion,,,,,1,,,,,,,
19201,G61X100,"right sided intracerebral haemorrhage, unspecified",,,,,1,,,,,,,
30202,G617.00,"intracerebral haemorrhage, intraventricular",,,,,1,,,,,,,
7912,G614.00,pontine haemorrhage,,,,,1,,,,,,,
107195,661M700,stroke self-management plan agreed,,,,,1,,,,,,,
65770,G677200,occlusion and stenosis of posterior cerebral artery,,,,,1,,,,,,,
4273,G621.00,subdural haemorrhage - nontraumatic,,,,,1,,,,,,,
42248,ZLEP.00,discharge from stroke serv,,,,,1,,,,,,,
3535,G61z.00,intracerebral haemorrhage nos,,,,,1,,,,,,,
36178,G620.00,extradural haemorrhage - nontraumatic,,,,,1,,,,,,,
3149,G64z.00,cerebral infarction nos,,,,,1,,,,,,,
108569,2Ba2200,scpe class predom patt c.3 infarct of middle cerebral artery,,,,,1,,,,,,,
43451,G682.00,sequelae of other nontraumatic intracranial haemorrhage,,,,,1,,,,,,,
105100,662M100,stroke 6 month review,,,,,1,,,,,,,
18604,G61..12,stroke due to intracerebral haemorrhage,,,,,1,,,,,,,
5602,G64z.12,cerebellar infarction,,,,,1,,,,,,,
39403,G683.00,sequelae of cerebral infarction,,,,,1,,,,,,,
98642,G633.00,multiple and bilateral precerebral arterial occlusion,,,,,1,,,,,,,
105520,8Hd6.00,admission to stroke unit,,,,,1,,,,,,,
29939,G600.00,ruptured berry aneurysm,,,,,1,,,,,,,
41910,G605.00,subarachnoid haemorrhage from basilar artery,,,,,1,,,,,,,
19412,G602.00,subarachnoid haemorrhage from middle cerebral artery,,,,,1,,,,,,,
92036,Gyu6600,[x]occlusion and stenosis of other cerebral arteries,,,,,1,,,,,,,
40847,G632.00,vertebral artery occlusion,,,,,1,,,,,,,
96630,Gyu6F00,"[x]intracerebral haemorrhage in hemisphere, unspecified",,,,,1,,,,,,,
57315,G618.00,"intracerebral haemorrhage, multiple localized",,,,,1,,,,,,,
100639,1M4..00,central post-stroke pain,,,,,1,,,,,,,
31941,A94y600,rupture of syphilitic cerebral aneurysm,,,,,1,,,,,,,
39344,G676000,"cereb infarct due cerebral venous thrombosis, nonpyogenic",,,,,1,,,,,,,
53745,Gyu6400,[x]other cerebral infarction,,,,,1,,,,,,,
71585,G63z.00,precerebral artery occlusion nos,,,,,1,,,,,,,
15252,G64z.11,brainstem infarction nos,,,,,1,,,,,,,
63830,G63..12,stenosis of precerebral arteries,,,,,1,,,,,,,
31060,G61X.00,"intracerebral haemorrhage in hemisphere, unspecified",,,,,1,,,,,,,
65745,Gyu6100,[x]other subarachnoid haemorrhage,,,,,1,,,,,,,
108668,Gyu6000,[x]subarachnoid haemorrhage from other intracranial arteries,,,,,1,,,,,,,
109743,661N700,stroke self-management plan review,,,,,1,,,,,,,
23671,G63y000,cerebral infarct due to thrombosis of precerebral arteries,,,,,1,,,,,,,
56007,G601.00,subarachnoid haemorrhage from carotid siphon and bifurcation,,,,,1,,,,,,,
44740,G680.00,sequelae of subarachnoid haemorrhage,,,,,1,,,,,,,
55602,G677300,occlusion and stenosis of cerebellar arteries,,,,,1,,,,,,,
6305,14A7.11,h/o: cva,,,,,1,,,,,,,
7780,G667.00,left sided cva,,,,,1,,,,,,,
36717,G640000,cerebral infarction due to thrombosis of cerebral arteries,,,,,1,,,,,,,
10504,G64z300,right sided cerebral infarction,,,,,1,,,,,,,
31704,G677.00,occlusion/stenosis cerebral arts not result cerebral infarct,,,,,1,,,,,,,
5051,G61..00,intracerebral haemorrhage,,,,,1,,,,,,,
31805,G62..00,other and unspecified intracranial haemorrhage,,,,,1,,,,,,,
5871,14A7.12,h/o: stroke,,,,,1,,,,,,,
17326,G60X.00,"subarachnoid haemorrh from intracranial artery, unspecif",,,,,1,,,,,,,
62342,G615.00,bulbar haemorrhage,,,,,1,,,,,,,
8443,G663.00,brain stem stroke syndrome,,,,,1,,,,,,,
42331,G603.00,subarachnoid haemorrhage from anterior communicating artery,,,,,1,,,,,,,
55351,7P24200,delivery of rehabilitation for stroke,,,,,1,,,,,,,
71274,G677400,occlusion+stenosis of multiple and bilat cerebral arteries,,,,,1,,,,,,,
57183,C315100,"mitochond encephalopathy, lact acidosis & strokelike episode",,,,,1,,,,,,,
26424,G64z400,infarction of basal ganglia,,,,,1,,,,,,,
94482,Gyu6G00,[x]cereb infarct due unsp occlus/stenos precerebr arteries,,,,,1,,,,,,,
