medcode,readcode,readterm,cat
711,C10..00,Diabetes mellitus,Diabetes (uncomplicated)
718,C0A5.00,Subclinical iodine-deficiency hypothyroidism,Hypothyroidism
719,14B4.00,H/O: asthma,Chronic pulmonary disease
733,7A54000,Percutaneous transluminal angioplasty of artery NEC,Peripheral vascular disease
758,C10F.00,Type 2 diabetes mellitus,Diabetes (uncomplicated)
779,B49..00,Malignant neoplasm of urinary bladder,Solid tumour or leukaemia
780,B46..00,Malignant neoplasm of prostate,Solid tumour or leukaemia
794,H32..00,Emphysema,Chronic pulmonary disease
795,D00..00,Iron deficiency anaemias,Deficiency anaemia
799,G20..00,Essential hypertension,Hypertension (uncomplicated)
844,N040.00,Rheumatoid arthritis,Rheumatoid arthritis and collagen diseases
854,E10..00,Schizophrenic disorders,Psychoses
865,B32..00,Malignant melanoma of skin,Solid tumour or leukaemia
876,B33..11,Basal cell carcinoma,Solid tumour or leukaemia
877,D313.15,Thrombocytopenic purpura,Coagulopathy
880,D315.00,Thrombocytopenia NOS,Coagulopathy
884,G581.00,Left ventricular failure,Congestive heart failure
899,J633.00,Hepatitis unspecified,Liver disease
939,G54zz00,"Endocarditis, valve unspecified, NOS",Valvular disease
949,7H62z00,Excision or biopsy of lymph node NOS,Metastatic cancer
988,F251000,Grand mal (major) epilepsy,Other neurological disorders
997,7A52300,Repair of artery using vein graft NEC,Peripheral vascular disease
998,H3...11,Chronic obstructive airways disease,Chronic pulmonary disease
999,G541100,"Aortic stenosis, non-rheumatic",Valvular disease
1001,H3...00,Chronic obstructive pulmonary disease,Chronic pulmonary disease
1005,G541212,"Aortic regurgitation alone, cause unspecified",Valvular disease
1038,C100011,Insulin dependent diabetes mellitus,Diabetes (uncomplicated)
1055,E135.00,Agitated depression,Depression
1056,B5z..00,Malignant neoplasm of other and unspecified site NOS,Solid tumour or leukaemia
1062,B10..00,Malignant neoplasm of oesophagus,Solid tumour or leukaemia
1131,E204.00,Neurotic depression reactive type,Depression
1208,H330.12,Childhood asthma,Chronic pulmonary disease
1220,B13..00,Malignant neoplasm of colon,Solid tumour or leukaemia
1223,G58..11,Cardiac failure,Congestive heart failure
1262,J11..00,Gastric ulcer - (GU),Peptic ulcer disease
1266,G401.00,Pulmonary embolism,Pulmonary circulation disorders
1267,G11..00,Mitral valve diseases,Valvular disease
1268,G573200,Paroxysmal atrial fibrillation,Cardiac arrythmia
1294,G540.15,Mitral valve prolapse,Valvular disease
1297,G570000,Paroxysmal atrial tachycardia,Cardiac arrythmia
1298,G66..11,CVA unspecified,Other neurological disorders
1306,R003z11,[D]Seizure NOS,Other neurological disorders
1318,G700.00,Aortic atherosclerosis,Peripheral vascular disease
1323,F420.00,Diabetic retinopathy,Diabetes with end-organ damage
1350,E00..12,Senile/presenile dementia,Other neurological disorders
1381,G572z00,Paroxysmal tachycardia NOS,Cardiac arrythmia
1399,E23..12,Alcohol problem drinking,Alcohol abuse
1407,C10FJ00,Insulin treated Type 2 diabetes mellitus,Diabetes (uncomplicated)
1408,N20..00,Polymyalgia rheumatica,Rheumatoid arthritis and collagen diseases
1433,G65..12,Transient ischaemic attack,Other neurological disorders
1440,A701.11,Infective hepatitis,Liver disease
1446,H312200,Acute exacerbation of chronic obstructive airways disease,Chronic pulmonary disease
1467,J632000,Hepatitis in malaria,Liver disease
1469,G66..00,Stroke and cerebrovascular accident unspecified,Other neurological disorders
1476,E010.12,Delirium tremens,Alcohol abuse
1481,B600.00,Reticulosarcoma,Lymphoma
1483,BBg1.11,[M]Lymphoma NOS,Lymphoma
1494,E103.00,Paranoid schizophrenia,Psychoses
1517,G73z000,Intermittent claudication,Peripheral vascular disease
1531,Eu31.11,[X]Manic-depressive illness,Psychoses
1533,E290.00,Brief depressive reaction,Depression
1535,G57z.00,Cardiac dysrhythmia NOS,Cardiac arrythmia
1536,G57y900,Supraventricular tachycardia NOS,Cardiac arrythmia
1549,C10E.00,Type 1 diabetes mellitus,Diabetes (uncomplicated)
1555,H33..11,Bronchial asthma,Chronic pulmonary disease
1585,H541.00,Pulmonary congestion,Pulmonary circulation disorders
1588,E25z.00,Misuse of drugs NOS,Drug abuse
1599,B4A0.00,Malignant neoplasm of kidney parenchyma,Solid tumour or leukaemia
1619,C04..11,Myxoedema,Hypothyroidism
1624,BB2A.00,[M]Squamous cell carcinoma NOS,Solid tumour or leukaemia
1638,J615z13,Cirrhosis of liver NOS,Liver disease
1641,G85..11,Oesophageal varices,Liver disease
1647,C108.00,Insulin dependent diabetes mellitus,Diabetes (uncomplicated)
1664,G573000,Atrial fibrillation,Cardiac arrythmia
1668,L182500,Iron deficiency anaemia of pregnancy,Deficiency anaemia
1682,C101.00,Diabetes mellitus with ketoacidosis,Diabetes (uncomplicated)
1684,66A4.00,Diabetic on oral treatment,Diabetes (uncomplicated)
1691,F120.00,Paralysis agitans,Other neurological disorders
1715,F250011,Epileptic absences,Other neurological disorders
1735,G71..00,Aortic aneurysm,Peripheral vascular disease
1736,7A14.11,Aortic aneurysm repair,Peripheral vascular disease
1749,F22..00,Hemiplegia,Paralysis
1754,J614.00,Chronic hepatitis,Liver disease
1755,J614200,Chronic aggressive hepatitis,Liver disease
1756,7911.12,Replacement of aortic valve,Valvular disease
1757,G573100,Atrial flutter,Cardiac arrythmia
1779,G542000,"Tricuspid incompetence, non-rheumatic",Valvular disease
1786,G60..00,Subarachnoid haemorrhage,Other neurological disorders
1800,B141.00,Malignant neoplasm of rectum,Solid tumour or leukaemia
1803,K011.00,Nephrotic syndrome with membranous glomerulonephritis,Renal disease
1813,H58z.00,Lung disease NOS,Chronic pulmonary disease
1826,G73..12,Ischaemia of legs,Peripheral vascular disease
1867,G714.00,Abdominal aortic aneurysm without mention of rupture,Peripheral vascular disease
1885,G110.00,Mitral stenosis,Valvular disease
1894,G201.00,Benign essential hypertension,Hypertension (uncomplicated)
1895,G65z.00,Transient cerebral ischaemia NOS,Other neurological disorders
1908,2257,O/E - depressed,Depression
1915,1BH..00,Delusions,Psychoses
1916,E00..11,Senile dementia,Other neurological disorders
1917,F110.00,Alzheimer's disease,Other neurological disorders
1928,N002.11,Keratoconjunctivitis sicca,Rheumatoid arthritis and collagen diseases
1934,H301.00,Laryngotracheobronchitis,Chronic pulmonary disease
1950,BB4..00,[M]Transitional cell papillomas and carcinomas,Solid tumour or leukaemia
1952,B580.00,Secondary malignant neoplasm of kidney,Metastatic cancer
1986,B440.11,Cancer of ovary,Solid tumour or leukaemia
1996,1B17.00,Depressed,Depression
2019,F234.00,Infantile hemiplegia NOS,Paralysis
2062,G58..00,Heart failure,Congestive heart failure
2065,G742400,Embolism and thrombosis of the femoral artery,Peripheral vascular disease
2066,7A48z00,Other bypass of femoral artery or popliteal artery NOS,Peripheral vascular disease
2069,F23..00,Congenital cerebral palsy,Paralysis
2073,F343000,Acute radial nerve palsy,Paralysis
2081,E23..11,Alcoholism,Alcohol abuse
2082,E01y000,Alcohol withdrawal syndrome,Alcohol abuse
2083,8BA8.00,Alcohol detoxification,Alcohol abuse
2084,E23..00,Alcohol dependence syndrome,Alcohol abuse
2088,K00..00,Acute glomerulonephritis,Renal disease
2113,Eu22011,[X]Paranoid psychosis,Psychoses
2114,E03y300,Unspecified puerperal psychosis,Psychoses
2117,E107.00,Schizo-affective schizophrenia,Psychoses
2156,G631.11,"Stenosis, carotid artery",Other neurological disorders
2184,N100.00,Ankylosing spondylitis,Rheumatoid arthritis and collagen diseases
2195,H34..00,Bronchiectasis,Chronic pulmonary disease
2212,G573.00,Atrial fibrillation and flutter,Cardiac arrythmia
2272,BB5..11,[M]Adenocarcinomas,Solid tumour or leukaemia
2290,H330.11,Allergic asthma,Chronic pulmonary disease
2298,F203.00,Exacerbation of multiple sclerosis,Other neurological disorders
2336,F143.00,Cerebellar ataxia NOS,Other neurological disorders
2340,F381311,Diabetic amyotrophy,Diabetes with end-organ damage
2342,F372.12,Diabetic neuropathy,Diabetes with end-organ damage
2343,G541300,"Aortic stenosis alone, cause unspecified",Valvular disease
2360,N002.00,Sicca (Sjogren's) syndrome,Rheumatoid arthritis and collagen diseases
2375,H50..00,Empyema,Chronic pulmonary disease
2378,66AJ.00,Diabetic - poor control,Diabetes (uncomplicated)
2379,9N1Q.00,Seen in diabetic clinic,Diabetes (uncomplicated)
2413,A70z000,Hepatitis C,Liver disease
2417,G65..13,Vertebro-basilar insufficiency,Other neurological disorders
2418,G6...00,Cerebrovascular disease,Other neurological disorders
2452,D014.00,Protein-deficiency anaemia,Deficiency anaemia
2462,B61..00,Hodgkin's disease,Lymphoma
2464,D010.00,Pernicious anaemia,Deficiency anaemia
2471,K01x100,Nephrotic syndrome in diabetes mellitus,Diabetes with end-organ damage
2475,C104.11,Diabetic nephropathy,Diabetes (uncomplicated)
2478,66AJ100,Brittle diabetes,Diabetes (uncomplicated)
2482,D011100,Vit B12 defic anaemia due to malabsorption with proteinuria,Deficiency anaemia
2492,B33z.00,Malignant neoplasm of skin NOS,Solid tumour or leukaemia
2560,E11..12,Depressive psychoses,Depression
2587,B22z.11,Lung cancer,Solid tumour or leukaemia
2639,E204.11,Postnatal depression,Depression
2640,F24z.00,Paralysis NOS,Paralysis
2652,G634.00,Carotid artery stenosis,Other neurological disorders
2654,7A20400,Endarterectomy of carotid artery NEC,Other neurological disorders
2666,14A2.00,H/O: hypertension,Hypertension (uncomplicated)
2669,G543300,"Pulmonary stenosis, cause unspecified",Valvular disease
2685,F135100,Paroxysmal choreo-athetosis,Other neurological disorders
2716,1465,H/O: depression,Depression
2741,Eu30000,[X]Hypomania,Psychoses
2744,B40..00,"Malignant neoplasm of uterus, part unspecified",Solid tumour or leukaemia
2747,B41..00,Malignant neoplasm of cervix uteri,Solid tumour or leukaemia
2760,G73zz00,Peripheral vascular disease NOS,Peripheral vascular disease
2761,7A12100,Bypass bifurc aorta by anastom aorta to femoral artery NEC,Peripheral vascular disease
2773,K0...00,"Nephritis, nephrosis and nephrotic syndrome",Renal disease
2775,E290000,Grief reaction,Depression
2802,ZV45000,[V]Cardiac pacemaker in situ,Cardiac arrythmia
2812,14C1.00,H/O: peptic ulcer,Peptic ulcer disease
2813,D010.11,Addison's anaemia,Deficiency anaemia
2815,B133.00,Malignant neoplasm of sigmoid colon,Solid tumour or leukaemia
2817,G542.00,"Tricuspid valve disorders, non-rheumatic",Valvular disease
2833,D300.12,Haemophilia A,Coagulopathy
2834,A705000,Viral hepatitis C without mention of hepatic coma,Liver disease
2835,43C3.11,HIV positive,HIV/AIDS
2839,22A4.11,O/E - overweight,Obesity
2840,ZV53300,[V]Fitting or adjustment of cardiac pacemaker,Cardiac arrythmia
2841,7936000,Implantation of intravenous cardiac pacemaker system,Cardiac arrythmia
2860,A703.00,Viral (serum) hepatitis B,Liver disease
2882,E00z.00,Senile or presenile psychoses NOS,Psychoses
2890,B430200,Malignant neoplasm of endometrium of corpus uteri,Solid tumour or leukaemia
2900,C354100,Hypercalcaemia NEC,Fluid and electrolyte disorders
2906,G580.11,Congestive cardiac failure,Congestive heart failure
2907,F250000,Petit mal (minor) epilepsy,Other neurological disorders
2923,62T1.00,Puerperal depression,Depression
2925,F375.00,Alcoholic polyneuropathy,Alcohol abuse
2939,K100600,Calculous pyelonephritis,Renal disease
2970,Eu32z00,"[X]Depressive episode, unspecified",Depression
2972,E2B0.00,Postviral depression,Depression
2977,G540.00,Mitral valve incompetence,Valvular disease
2986,F420200,Preproliferative diabetic retinopathy,Diabetes with end-organ damage
2994,7L1A100,Peritoneal dialysis,Renal disease
2996,7L1A200,Haemodialysis NEC,Renal disease
2999,K01..00,Nephrotic syndrome,Renal disease
3018,663V100,Mild asthma,Chronic pulmonary disease
3028,BB31.00,[M]Basal cell carcinoma NOS,Solid tumour or leukaemia
3032,G565000,Bundle branch block unspecified,Cardiac arrythmia
3063,F241.00,Paraplegia,Paralysis
3101,J11..12,Pyloric ulcer,Peptic ulcer disease
3135,B823400,Carcinoma in situ of skin of nose,Solid tumour or leukaemia
3138,24D..11,O/E - aortic murmur,Valvular disease
3142,A701.00,Viral (infectious) hepatitis A,Liver disease
3146,A70..00,Viral hepatitis,Liver disease
3149,G64z.00,Cerebral infarction NOS,Other neurological disorders
3152,BB13.00,"[M]Carcinoma, metastatic, NOS",Metastatic cancer
3163,H300.00,Tracheobronchitis NOS,Chronic pulmonary disease
3168,C368.00,Hypokalaemia,Fluid and electrolyte disorders
3169,791z.00,Heart valve and adjacent structures operations NOS,Valvular disease
3175,F254000,Temporal lobe epilepsy,Other neurological disorders
3176,66C4.00,Has seen dietician - obesity,Obesity
3197,BB03.00,"[M]Neoplasm, metastatic",Metastatic cancer
3213,B430.00,"Malignant neoplasm of corpus uteri, excluding isthmus",Solid tumour or leukaemia
3216,J611.00,Acute alcoholic hepatitis,Alcohol abuse
3230,B41..11,Cervical carcinoma (uterus),Solid tumour or leukaemia
3243,H31..00,Chronic bronchitis,Chronic pulmonary disease
3279,B831.00,Carcinoma in situ of cervix uteri,Solid tumour or leukaemia
3286,F420100,Proliferative diabetic retinopathy,Diabetes with end-organ damage
3290,C04..00,Acquired hypothyroidism,Hypothyroidism
3291,Eu32z12,[X]Depressive disorder NOS,Depression
3292,Eu33.00,[X]Recurrent depressive disorder,Depression
3293,F223.00,Right hemiplegia,Paralysis
3300,P641.00,Bicuspid aortic valve,Valvular disease
3320,42P3.00,Thrombocythaemia,Coagulopathy
3357,B1...11,Carcinoma of digestive organs and peritoneum,Solid tumour or leukaemia
3366,663V300,Severe asthma,Chronic pulmonary disease
3369,E212.00,Schizoid personality disorder,Psychoses
3371,BBg2.11,[M]Non Hodgkins lymphoma,Lymphoma
3418,G571.00,Paroxysmal ventricular tachycardia,Cardiac arrythmia
3425,662O.00,On treatment for hypertension,Hypertension (uncomplicated)
3428,R013000,[D]Ataxia NOS,Other neurological disorders
3450,J615300,Diffuse nodular cirrhosis,Liver disease
3458,663V000,Occasional asthma,Chronic pulmonary disease
3462,J123.00,Duodenal erosion,Peptic ulcer disease
3464,F21..00,Other central nervous system demyelinating diseases,Other neurological disorders
3480,H30z.00,Bronchitis NOS,Chronic pulmonary disease
3514,F141.00,Hereditary spastic paraplegia,Paralysis
3530,G73z.00,Peripheral vascular disease NOS,Peripheral vascular disease
3535,G61z.00,Intracerebral haemorrhage NOS,Other neurological disorders
3541,B48..00,Malignant neoplasm of penis and other male genital organs,Solid tumour or leukaemia
3550,66A..00,Diabetic monitoring,Diabetes (uncomplicated)
3584,F115.00,Hydrocephalus,Other neurological disorders
3588,G72z.00,Aneurysm NOS,Peripheral vascular disease
3589,7A53400,Operation on aneurysm of artery NEC,Peripheral vascular disease
3591,F134.00,Huntington's chorea,Other neurological disorders
3603,G561.00,Partial atrioventricular block,Cardiac arrythmia
3604,B627.00,Non - Hodgkin's lymphoma,Lymphoma
3607,F25z.11,Fit (in known epileptic) NOS,Other neurological disorders
3608,R014.00,[D]Transient paralysis of a limb,Paralysis
3611,1432,H/O: hypothyroidism,Hypothyroidism
3621,2837,O/E - diplegia,Paralysis
3635,E252.00,Nondependent cannabis abuse,Drug abuse
3636,E13z.11,Psychotic episode NOS,Psychoses
3647,R032.00,[D]Abnormal loss of weight,Weight loss
3665,H331.11,Late onset asthma,Chronic pulmonary disease
3670,N001.00,Scleroderma,Rheumatoid arthritis and collagen diseases
3702,E114.00,"Bipolar affective disorder, currently manic",Psychoses
3710,BBB1.00,[M]Adenolymphoma,Lymphoma
3712,G20z.11,Hypertension NOS,Hypertension (uncomplicated)
3714,G74z.00,Arterial embolism and thrombosis NOS,Peripheral vascular disease
3731,7910300,Replacement of mitral valve NEC,Valvular disease
3757,3272,ECG: atrial fibrillation,Cardiac arrythmia
3783,1473,H/O: epilepsy,Other neurological disorders
3802,F283.00,Unspecified encephalopathy,Other neurological disorders
3810,G560.00,Complete atrioventricular block,Cardiac arrythmia
3811,B134.00,Malignant neoplasm of caecum,Solid tumour or leukaemia
3837,F420400,Diabetic maculopathy,Diabetes with end-organ damage
3859,H57y200,Pulmonary sarcoidosis,Chronic pulmonary disease
3862,P601.00,Congenital atresia of the pulmonary valve,Valvular disease
3890,E121.00,Chronic paranoid psychosis,Psychoses
3903,B22z.00,Malignant neoplasm of bronchus or lung NOS,Solid tumour or leukaemia
3909,G576.11,Premature beats,Cardiac arrythmia
3911,7910.12,Replacement of mitral valve,Valvular disease
3941,C04z.00,Hypothyroidism NOS,Hypothyroidism
3944,N044.00,Chronic post-rheumatic arthropathy,Rheumatoid arthritis and collagen diseases
3968,B34..00,Malignant neoplasm of female breast,Solid tumour or leukaemia
3969,BB9M.00,[M]Intracystic carcinoma NOS,Solid tumour or leukaemia
3979,G672.00,Hypertensive encephalopathy,Other neurological disorders
3984,E100200,Chronic schizophrenic,Psychoses
3995,G70z.00,Arteriosclerotic vascular disease NOS,Peripheral vascular disease
4006,42P2.00,Thrombocytopenia,Coagulopathy
4024,G58z.00,Heart failure NOS,Congestive heart failure
4044,G57..00,Cardiac dysrhythmias,Cardiac arrythmia
4080,D012.00,Folate-deficiency anaemia,Deficiency anaemia
4087,B831.11,CIN III - carcinoma in situ of cervix,Solid tumour or leukaemia
4093,F253.11,Status epilepticus,Other neurological disorders
4108,F135000,Hemiballismus,Other neurological disorders
4109,SC20000,Traumatic epilepsy,Other neurological disorders
4118,BBV9.00,[M]Myxoid chondrosarcoma,Solid tumour or leukaemia
4137,B570.00,Secondary malignant neoplasm of lung,Metastatic cancer
4165,F140.00,Friedreich's ataxia,Other neurological disorders
4186,N043.00,Juvenile rheumatoid arthritis - Still's disease,Rheumatoid arthritis and collagen diseases
4217,BB5c.00,[M]Parathyroid adenomas and adenocarcinomas,Solid tumour or leukaemia
4218,B541.00,Malignant neoplasm of parathyroid gland,Solid tumour or leukaemia
4240,G631.00,Carotid artery occlusion,Other neurological disorders
4261,E12..00,Paranoid states,Psychoses
4273,G621.00,Subdural haemorrhage - nontraumatic,Other neurological disorders
4276,H160400,Laryngitis sicca,Rheumatoid arthritis and collagen diseases
4289,G74..00,Arterial embolism and thrombosis,Peripheral vascular disease
4321,F12..00,Parkinson's disease,Other neurological disorders
4323,E2B1.00,Chronic depression,Depression
4325,G73yz00,Other specified peripheral vascular disease NOS,Peripheral vascular disease
4327,TB01000,"Implant of cardiac pacemaker with complication, no blame",Cardiac arrythmia
4357,Eu02z14,[X] Senile dementia NOS,Other neurological disorders
4372,G202.00,Systolic hypertension,Hypertension (uncomplicated)
4374,G574.00,Ventricular fibrillation and flutter,Cardiac arrythmia
4388,B020.00,Malignant neoplasm of parotid gland,Solid tumour or leukaemia
4390,285..11,"Psychotic condition, insight present",Psychoses
4403,B577.11,Liver metastases,Metastatic cancer
4406,J631100,Hepatitis in cytomegalic inclusion virus,Liver disease
4442,H33z.00,Asthma unspecified,Chronic pulmonary disease
4444,662..12,Hypertension monitoring,Hypertension (uncomplicated)
4454,J620z00,Liver abscess NOS,Liver disease
4473,BBY0.00,[M]Ewing's sarcoma,Solid tumour or leukaemia
4475,D01..11,Megaloblastic anaemia,Deficiency anaemia
4478,F256.00,Infantile spasms,Other neurological disorders
4500,E011000,Korsakov's alcoholic psychosis,Alcohol abuse
4501,C251.11,Wernicke's encephalopathy,Other neurological disorders
4506,J153.00,Alcoholic gastritis,Alcohol abuse
4513,C109.00,Non-insulin dependent diabetes mellitus,Diabetes (uncomplicated)
4539,G742500,Embolism and thrombosis of the popliteal artery,Peripheral vascular disease
4548,G541.00,Aortic valve disorders,Valvular disease
4549,G56..12,Heart block,Cardiac arrythmia
4554,B454.00,Malignant neoplasm of vulva unspecified,Solid tumour or leukaemia
4555,B45..00,Malig neop of other and unspecified female genital organs,Solid tumour or leukaemia
4602,667B.00,Nocturnal epilepsy,Other neurological disorders
4606,H33zz11,Exercise induced asthma,Chronic pulmonary disease
4632,B33..00,Other malignant neoplasm of skin,Solid tumour or leukaemia
4635,G673.00,"Cerebral aneurysm, nonruptured",Peripheral vascular disease
4639,Eu32.00,[X]Depressive episode,Depression
4654,K100.00,Chronic pyelonephritis,Renal disease
4661,B935.12,Mastocytoma NOS,Lymphoma
4663,1625,Abnormal weight loss,Weight loss
4668,G22..00,Hypertensive renal disease,Renal disease
4669,K02y200,Chronic focal glomerulonephritis,Renal disease
4675,F113.00,Acquired communicating hydrocephalus,Other neurological disorders
4677,E115.00,"Bipolar affective disorder, currently depressed",Psychoses
4678,Eu30z11,[X]Mania NOS,Psychoses
4690,329A.00,ECG: left bundle branch block,Cardiac arrythmia
4693,Eu02z00,[X] Unspecified dementia,Other neurological disorders
4710,C361.11,Hyponatraemia,Fluid and electrolyte disorders
4732,Eu31500,[X]Bipolar affect dis cur epi severe depres with psyc symp,Psychoses
4741,7627000,Closure of perforated duodenal ulcer,Peptic ulcer disease
4743,J612.00,Alcoholic cirrhosis of liver,Alcohol abuse
4801,F251300,Epileptic seizures - myoclonic,Other neurological disorders
4802,G576200,Ventricular ectopic beats,Cardiac arrythmia
4809,K06..11,Uraemia NOS,Renal disease
4827,G574000,Ventricular fibrillation,Cardiac arrythmia
4850,K03..11,Nephritis and nephropathy unspecified,Renal disease
4852,BB24.12,[M]Verrucous squamous cell carcinoma,Solid tumour or leukaemia
4857,24D7.00,O/E -pulmonary systolic murmur,Valvular disease
4858,Dyu0000,[X]Other iron deficiency anaemias,Deficiency anaemia
4865,B10z.11,Oesophageal cancer,Solid tumour or leukaemia
4871,BBEN.11,[M]Juvenila melanoma,Solid tumour or leukaemia
4892,H33z000,Status asthmaticus NOS,Chronic pulmonary disease
4900,7918,Other open operations on valve of heart,Valvular disease
4908,N003.00,Dermatomyositis,Rheumatoid arthritis and collagen diseases
4910,H56y100,Interstitial pneumonia,Chronic pulmonary disease
4915,G555.00,Alcoholic cardiomyopathy,Alcohol abuse
4921,2834,O/E - monoplegia,Paralysis
4924,3282,ECG: ventricular tachycardia,Cardiac arrythmia
4940,G570.00,Paroxysmal supraventricular tachycardia,Cardiac arrythmia
4944,B630.00,Multiple myeloma,Lymphoma
4979,Eu53012,[X]Postpartum depression NOS,Depression
5002,F372.11,Diabetic polyneuropathy,Diabetes with end-organ damage
5005,H410.00,Pleural plaque disease due to asbestosis,Chronic pulmonary disease
5051,G61..00,Intracerebral haemorrhage,Other neurological disorders
5052,BBV1.13,[M]Osteogenic sarcoma NOS,Solid tumour or leukaemia
5058,G540000,"Mitral incompetence, non-rheumatic",Valvular disease
5105,E24..00,Drug dependence,Drug abuse
5117,F253.00,Grand mal status,Other neurological disorders
5128,F142.00,Primary cerebellar degeneration,Other neurological disorders
5129,J623.00,Portal hypertension,Liver disease
5136,B911013,Choriocarcinoma,Solid tumour or leukaemia
5137,B624.11,Leukaemic reticuloendotheliosis,Lymphoma
5138,9Q21.00,Patient in asthma study,Chronic pulmonary disease
5141,G554000,Congestive cardiomyopathy,Congestive heart failure
5144,D313.12,Idiopathic thrombocytopenic purpura,Coagulopathy
5152,F251400,Epileptic seizures - tonic,Other neurological disorders
5179,B620.00,Nodular lymphoma (Brill - Symmers disease),Lymphoma
5181,D313012,ITP - idiopathic thrombocytopenic purpura,Coagulopathy
5182,K03z.00,Unspecified glomerulonephritis NOS,Renal disease
5185,G64z111,Lateral medullary syndrome,Other neurological disorders
5198,B583000,Secondary malignant neoplasm of brain,Metastatic cancer
5199,B583200,Cerebral metastasis,Metastatic cancer
5203,E246.00,Glue sniffing dependence,Drug abuse
5215,9OI..00,Hypertension monitoring admin.,Hypertension (uncomplicated)
5219,J633z00,Hepatitis unspecified NOS,Liver disease
5232,C354000,Hypocalcaemia NEC,Fluid and electrolyte disorders
5247,C21..00,Nutritional marasmus,Weight loss
5255,G581000,Acute left ventricular failure,Congestive heart failure
5267,H331.00,Intrinsic asthma,Chronic pulmonary disease
5268,G650.11,Insufficiency - basilar artery,Other neurological disorders
5271,D011.11,Vitamin B12 deficiency anaemia,Deficiency anaemia
5291,K031.00,Membranous nephritis unspecified,Renal disease
5306,P100000,"Spina bifida with hydrocephalus, unspecified",Other neurological disorders
5326,G02..00,Rheumatic chorea,Other neurological disorders
5363,G64..11,CVA - cerebral artery occlusion,Other neurological disorders
5379,PD23.00,Congenital hydronephrosis,Renal disease
5414,G732000,Gangrene of toe,Peripheral vascular disease
5417,K00..11,Acute nephritis,Renal disease
5431,P11..00,Spina bifida without mention of hydrocephalus,Other neurological disorders
5443,F122.00,Malignant neuroleptic syndrome,Solid tumour or leukaemia
5455,BB53.00,"[M]Adenocarcinoma, metastatic, NOS",Metastatic cancer
5463,F03..13,Transverse myelitis,Other neurological disorders
5475,7261011,Cyclodialysis,Renal disease
5484,G574100,Ventricular flutter,Cardiac arrythmia
5512,F230100,Cerebral palsy with spastic diplegia,Paralysis
5513,8HT5.00,Referral to hypertension clinic,Hypertension (uncomplicated)
5515,9N1d.00,Seen in asthma clinic,Chronic pulmonary disease
5519,H563.12,Cryptogenic fibrosing alveolitis,Chronic pulmonary disease
5521,J130200,Acute peptic ulcer with perforation,Peptic ulcer disease
5525,F255011,Focal epilepsy,Other neurological disorders
5560,F23..12,Infantile cerebral palsy,Paralysis
5602,G64z.12,Cerebellar infarction,Other neurological disorders
5610,E253.00,Nondependent hallucinogen abuse,Drug abuse
5611,Eu10.00,[X]Mental and behavioural disorders due to use of alcohol,Alcohol abuse
5619,C294300,Iron deficiency,Deficiency anaemia
5627,H330011,Hay fever with asthma,Chronic pulmonary disease
5632,D300.00,Haemophilia-A (factor VIII deficiency),Coagulopathy
5637,B53..00,Malignant neoplasm of thyroid gland,Solid tumour or leukaemia
5638,J616000,Primary biliary cirrhosis,Liver disease
5640,G70..00,Atherosclerosis,Peripheral vascular disease
