prodcodeid,bnfchapter,termfromemis,drugsubstancename,productname,bb,ace,arb,arnie,mra,sglti,loop
"8276041000033117","2050501","perindopril erbumine 4mg/5ml oral suspension","perindopril erbumine","perindopril erbumine 4mg/5ml oral suspension",,1,,,,,
"3162241000033117","2050501","enalapril 20mg / hydrochlorothiazide 12.5mg tablets","enalapril maleate/ hydrochlorothiazide","enalapril 20mg / hydrochlorothiazide 12.5mg tablets",,1,,,,,
"6517041000033110","2050501","ramipril 2.5mg/5ml oral solution sugar free","ramipril","ramipril 2.5mg/5ml oral solution sugar free",,1,,,,,
"4454141000033110","2050501","perindopril arginine 10mg tablets","perindopril arginine","perindopril arginine 10mg tablets",,1,,,,,
"10645041000033114","2050501","lisinopril 5mg/5ml oral solution sugar free","lisinopril","lisinopril 5mg/5ml oral solution sugar free",,1,,,,,
"1086941000033112","","pipril  injection  1 g","","",,1,,,,,
"524241000033115","","enalapril maleate  wafers  5 mg","","",,1,,,,,
"522641000033110","2050501","enalapril 10mg tablets","enalapril maleate","enalapril 10mg tablets",,1,,,,,
"2883341000033118","2050501","ramipril 5mg/5ml oral suspension","ramipril","ramipril 5mg/5ml oral suspension",,1,,,,,
"1067941000033111","2050501","perindopril erbumine 4mg tablets","perindopril erbumine","perindopril erbumine 4mg tablets",,1,,,,,
"1087041000033113","","pipril  injection  2 g","","",,1,,,,,
"1622241000033119","","kaplon 50mg tablets (teva uk ltd)","captopril","kaplon 50mg tablets",,1,,,,,
"4454441000033119","","coversyl arginine 10mg tablets (servier laboratories ltd)","perindopril arginine","coversyl arginine 10mg tablets",,1,,,,,
"1893241000033114","2050501","co-zidocapt 25mg/50mg tablets","captopril/ hydrochlorothiazide","co-zidocapt 25mg/50mg tablets",,1,,,,,
"524341000033113","","enalapril maleate  wafers  10 mg","","",,1,,,,,
"3851341000033117","2050501","captopril 3mg/5ml oral solution","captopril","captopril 3mg/5ml oral solution",,1,,,,,
"769341000033119","","innovace 5mg tablets (organon pharma (uk) ltd)","enalapril maleate","innovace 5mg tablets",,1,,,,,
"13443541000033119","","lisoretic 20mg/12.5mg tablets (bristol laboratories ltd)","hydrochlorothiazide/ lisinopril","lisoretic 20mg/12.5mg tablets",,1,,,,,
"2656341000033110","2050501","captopril 5mg/5ml oral suspension","captopril","captopril 5mg/5ml oral suspension",,1,,,,,
"2989641000033119","2050501","ramipril 2.5mg tablets","ramipril","ramipril 2.5mg tablets",,1,,,,,
"4454241000033115","","coversyl arginine 2.5mg tablets (servier laboratories ltd)","perindopril arginine","coversyl arginine 2.5mg tablets",,1,,,,,
"2928341000033114","","tensopril 12.5mg tablets (teva uk ltd)","captopril","tensopril 12.5mg tablets",,1,,,,,
"5890541000033115","2050501","ramipril 2.5mg/5ml oral solution","ramipril","ramipril 2.5mg/5ml oral solution",,1,,,,,
"5890341000033110","2050501","ramipril 5mg/5ml oral solution","ramipril","ramipril 5mg/5ml oral solution",,1,,,,,
"1086841000033116","","pipril  infusion  4 g","","",,1,,,,,
"214541000033116","2050501","captopril 50mg tablets","captopril","captopril 50mg tablets",,1,,,,,
"5008141000033111","2050501","captopril 10mg/5ml oral suspension","captopril","captopril 10mg/5ml oral suspension",,1,,,,,
"1504641000033112","","vascace 1mg tablets (roche products ltd)","cilazapril monohydrate","vascace 1mg tablets",,1,,,,,
"9108041000033111","2050501","captopril 25mg/5ml oral solution sugar free","captopril","captopril 25mg/5ml oral solution sugar free",,1,,,,,
"8961341000033119","","noyada 25mg/5ml oral solution (martindale pharmaceuticals ltd)","captopril","noyada 25mg/5ml oral solution",,1,,,,,
"9105341000033116","2050501","perindopril erbumine 4mg / amlodipine 10mg tablets","amlodipine besilate/ perindopril erbumine","perindopril erbumine 4mg / amlodipine 10mg tablets",,1,,,,,
"9105241000033114","2050501","perindopril erbumine 4mg / amlodipine 5mg tablets","amlodipine besilate/ perindopril erbumine","perindopril erbumine 4mg / amlodipine 5mg tablets",,1,,,,,
"8961241000033112","","noyada 5mg/5ml oral solution (martindale pharmaceuticals ltd)","captopril","noyada 5mg/5ml oral solution",,1,,,,,
"5898841000033116","2050501","captopril 12.5mg/5ml oral suspension","captopril","captopril 12.5mg/5ml oral suspension",,1,,,,,
"1151541000033112","2050501","ramipril 5mg capsules","ramipril","ramipril 5mg capsules",,1,,,,,
"2846741000033119","2050501","perindopril erbumine 8mg tablets","perindopril erbumine","perindopril erbumine 8mg tablets",,1,,,,,
"214141000033113","","capoten 12.5mg tablets (bristol-myers squibb pharmaceuticals ltd)","captopril","capoten 12.5mg tablets",,1,,,,,
"770141000033115","","innozide 20mg/12.5mg tablets (organon pharma (uk) ltd)","enalapril maleate/ hydrochlorothiazide","innozide 20mg/12.5mg tablets",,1,,,,,
"8869441000033119","2050501","perindopril erbumine 4mg/5ml oral solution","perindopril erbumine","perindopril erbumine 4mg/5ml oral solution",,1,,,,,
"838041000033116","2050501","lisinopril 20mg tablets","lisinopril","lisinopril 20mg tablets",,1,,,,,
"1067841000033115","2050501","perindopril erbumine 2mg tablets","perindopril erbumine","perindopril erbumine 2mg tablets",,1,,,,,
"769141000033117","","innovace 2.5mg tablets (organon pharma (uk) ltd)","enalapril maleate","innovace 2.5mg tablets",,1,,,,,
"938141000033112","2050501","moexipril 7.5mg tablets","moexipril hydrochloride","moexipril 7.5mg tablets",,1,,,,,
"5971341000033117","2050501","lisinopril 2.5mg/5ml oral solution","lisinopril","lisinopril 2.5mg/5ml oral solution",,1,,,,,
"11641000033111","","accupro 40mg tablets (pfizer ltd)","quinapril hydrochloride","accupro 40mg tablets",,1,,,,,
"1769941000033115","","tritace 10mg capsules (sanofi)","ramipril","tritace 10mg capsules",,1,,,,,
"5890241000033117","2050501","lisinopril 5mg/5ml oral solution","lisinopril","lisinopril 5mg/5ml oral solution",,1,,,,,
"1406341000033117","","tarka modified-release capsules (abbott laboratories ltd)","trandolapril/ verapamil hydrochloride","tarka modified-release capsules",,1,,,,,
"1552041000033115","","zestril 2.5mg tablets (astrazeneca uk ltd)","lisinopril","zestril 2.5mg tablets",,1,,,,,
"1454041000033118","2050501","trandolapril 2mg capsules","trandolapril","trandolapril 2mg capsules",,1,,,,,
"1387441000033115","","staril 20mg tablets (bristol-myers squibb pharmaceuticals ltd)","fosinopril sodium","staril 20mg tablets",,1,,,,,
"3159941000033114","","lopace 10mg capsules (discovery pharmaceuticals)","ramipril","lopace 10mg capsules",,1,,,,,
"5997541000033113","","perindopril  oral solution  8 mg/5 ml","","",,1,,,,,
"5132041000033112","2050501","captopril 25mg/5ml oral suspension","captopril","captopril 25mg/5ml oral suspension",,1,,,,,
"8276141000033118","2050501","perindopril erbumine 8mg/5ml oral suspension","perindopril erbumine","perindopril erbumine 8mg/5ml oral suspension",,1,,,,,
"5568741000033113","2050501","lisinopril 40mg/5ml oral suspension","lisinopril","lisinopril 40mg/5ml oral suspension",,1,,,,,
"11041000033117","","acepril 50mg tablets (bristol-myers squibb pharmaceuticals ltd)","captopril","acepril 50mg tablets",,1,,,,,
"1770441000033111","","comprilan bandage 12cm x 5m (bsn medical ltd)","","comprilan bandage 12cm x 5m",,1,,,,,
"609241000033116","2050501","fosinopril 20mg tablets","fosinopril sodium","fosinopril 20mg tablets",,1,,,,,
"1739741000033112","2050501","imidapril 10mg tablets","imidapril hydrochloride","imidapril 10mg tablets",,1,,,,,
"5971641000033113","2050501","lisinopril 7.5mg/5ml oral suspension","lisinopril","lisinopril 7.5mg/5ml oral suspension",,1,,,,,
"1504741000033115","","vascace 2.5mg tablets (roche products ltd)","cilazapril monohydrate","vascace 2.5mg tablets",,1,,,,,
"5967141000033118","2050501","enalapril 10mg/5ml oral suspension","enalapril maleate","enalapril 10mg/5ml oral suspension",,1,,,,,
"1453941000033115","2050501","trandolapril 1mg capsules","trandolapril","trandolapril 1mg capsules",,1,,,,,
"3136141000033118","","caralpha 20mg/12.5mg tablets (actavis uk ltd)","hydrochlorothiazide/ lisinopril","caralpha 20mg/12.5mg tablets",,1,,,,,
"4454341000033113","","coversyl arginine 5mg tablets (servier laboratories ltd)","perindopril arginine","coversyl arginine 5mg tablets",,1,,,,,
"5998241000033112","2050501","ramipril 1.25mg/5ml oral solution","ramipril","ramipril 1.25mg/5ml oral solution",,1,,,,,
"2990241000033112","","tritace 10mg tablets (sanofi)","ramipril","tritace 10mg tablets",,1,,,,,
"938041000033113","2050501","moexipril 15mg tablets","moexipril hydrochloride","moexipril 15mg tablets",,1,,,,,
"5888241000033116","","perindopril  oral suspension  4 mg/5 ml","","",,1,,,,,
"5887941000033114","2050501","ramipril 10mg/5ml oral suspension","ramipril","ramipril 10mg/5ml oral suspension",,1,,,,,
"3136041000033117","","caralpha 10mg/12.5mg tablets (actavis uk ltd)","hydrochlorothiazide/ lisinopril","caralpha 10mg/12.5mg tablets",,1,,,,,
"6012541000033117","2050501","enalapril 1.25mg/5ml oral suspension","enalapril maleate","enalapril 1.25mg/5ml oral suspension",,1,,,,,
"1622141000033114","","kaplon 25mg tablets (teva uk ltd)","captopril","kaplon 25mg tablets",,1,,,,,
"1551941000033114","","zestril 10mg tablets (atnahs pharma uk ltd)","lisinopril","zestril 10mg tablets",,1,,,,,
"10941000033110","","acepril 25mg tablets (bristol-myers squibb pharmaceuticals ltd)","captopril","acepril 25mg tablets",,1,,,,,
"5992641000033112","2050501","enalapril 5mg/5ml oral suspension","enalapril maleate","enalapril 5mg/5ml oral suspension",,1,,,,,
"5454041000033117","2050501","captopril 4mg capsules","captopril","captopril 4mg capsules",,1,,,,,
"998741000033119","","odrik 500microgram capsules (aventis pharma)","trandolapril","odrik 500microgram capsules",,1,,,,,
"2846641000033111","","coversyl 8mg tablets (servier laboratories ltd)","perindopril erbumine","coversyl 8mg tablets",,1,,,,,
"210741000033117","","captopril  tablets  2 mg","","",,1,,,,,
"5887841000033118","2050501","ramipril 10mg/5ml oral solution","ramipril","ramipril 10mg/5ml oral solution",,1,,,,,
"523741000033111","","enalapril maleate  titration pack","","",,1,,,,,
"203641000033119","","caprilon powder (nutricia ltd)","","caprilon powder",,1,,,,,
"4153041000033114","","perindopril  oral suspension  8 mg/5 ml","","",,1,,,,,
"2946041000033114","","ecopace 50mg tablets (advanz pharma)","captopril","ecopace 50mg tablets",,1,,,,,
"648441000033118","","gopten 2mg capsules (abbott laboratories ltd)","trandolapril","gopten 2mg capsules",,1,,,,,
"6012441000033118","2050501","enalapril 1.25mg/5ml oral solution","enalapril maleate","enalapril 1.25mg/5ml oral solution",,1,,,,,
"2724541000033115","","ramipril  titration pack  7 x 2.5 mg, 21 x 5 mg, 7 x 10 mg","","",,1,,,,,
"524141000033110","","enalapril maleate  wafers  20 mg","","",,1,,,,,
"1455741000033119","","tritace 5mg capsules (sanofi)","ramipril","tritace 5mg capsules",,1,,,,,
"3014741000033111","2050501","trandolapril 4mg capsules","trandolapril","trandolapril 4mg capsules",,1,,,,,
"3159741000033111","","lopace 2.5mg capsules (discovery pharmaceuticals)","ramipril","lopace 2.5mg capsules",,1,,,,,
"2990141000033117","","tritace 5mg tablets (sanofi)","ramipril","tritace 5mg tablets",,1,,,,,
"1834341000033110","","triapin 5mg/5mg modified-release tablets (sanofi)","felodipine/ ramipril","triapin 5mg/5mg modified-release tablets",,1,,,,,
"998541000033110","","odrik 1mg capsules (aventis pharma)","trandolapril","odrik 1mg capsules",,1,,,,,
"8263641000033112","2050501","perindopril tosilate 5mg / indapamide 1.25mg tablets","indapamide/ perindopril tosilate","perindopril tosilate 5mg / indapamide 1.25mg tablets",,1,,,,,
"2145841000033114","2050501","imidapril 20mg tablets","imidapril hydrochloride","imidapril 20mg tablets",,1,,,,,
"3283141000033118","","quinil 5mg tablets (tillomed laboratories ltd)","quinapril hydrochloride","quinil 5mg tablets",,1,,,,,
"648541000033117","","gopten 500microgram capsules (abbott laboratories ltd)","trandolapril","gopten 500microgram capsules",,1,,,,,
"1918841000033113","","pralenal 10 tablets (opus pharmaceuticals ltd)","enalapril maleate","pralenal 10 tablets",,1,,,,,
"3279641000033119","","lisicostad 20mg/12.5mg tablets (genus pharmaceuticals ltd)","hydrochlorothiazide/ lisinopril","lisicostad 20mg/12.5mg tablets",,1,,,,,
"523541000033115","2050501","enalapril 2.5mg tablets","enalapril maleate","enalapril 2.5mg tablets",,1,,,,,
"1552241000033111","","zestril 5mg tablets (atnahs pharma uk ltd)","lisinopril","zestril 5mg tablets",,1,,,,,
"3160941000033113","2050501","lisinopril 20mg / hydrochlorothiazide 12.5mg tablets","hydrochlorothiazide/ lisinopril","lisinopril 20mg / hydrochlorothiazide 12.5mg tablets",,1,,,,,
"9108141000033110","2050501","captopril 5mg/5ml oral solution sugar free","captopril","captopril 5mg/5ml oral solution sugar free",,1,,,,,
"4805941000033114","2050501","ramipril 2.5mg/5ml oral suspension","ramipril","ramipril 2.5mg/5ml oral suspension",,1,,,,,
"1770341000033117","","comprilan bandage 10cm x 5m (bsn medical ltd)","","comprilan bandage 10cm x 5m",,1,,,,,
"8263341000033116","2050501","perindopril tosilate 2.5mg tablets","perindopril tosilate","perindopril tosilate 2.5mg tablets",,1,,,,,
"214241000033118","","capoten 25mg tablets (bristol-myers squibb pharmaceuticals ltd)","captopril","capoten 25mg tablets",,1,,,,,
"2989941000033114","","tritace 1.25mg tablets (sanofi)","ramipril","tritace 1.25mg tablets",,1,,,,,
"1149441000033112","2050501","quinapril 20mg tablets","quinapril hydrochloride","quinapril 20mg tablets",,1,,,,,
"1151341000033117","2050501","ramipril 1.25mg capsules","ramipril","ramipril 1.25mg capsules",,1,,,,,
"837941000033119","2050501","lisinopril 2.5mg tablets","lisinopril","lisinopril 2.5mg tablets",,1,,,,,
"258641000033117","2050501","cilazapril 5mg tablets","cilazapril monohydrate","cilazapril 5mg tablets",,1,,,,,
"209241000033119","","capozide ls 12.5mg/25mg tablets (bristol-myers squibb pharmaceuticals ltd)","captopril/ hydrochlorothiazide","capozide ls 12.5mg/25mg tablets",,1,,,,,
"8879841000033110","","priligy 60mg tablets (a. menarini farmaceutica internazionale srl)","dapoxetine","priligy 60mg tablets",,1,,,,,
"2945941000033116","","ecopace 25mg tablets (advanz pharma)","captopril","ecopace 25mg tablets",,1,,,,,
"8275941000033110","2050501","perindopril erbumine 8mg/5ml oral solution","perindopril erbumine","perindopril erbumine 8mg/5ml oral solution",,1,,,,,
"2989741000033111","2050501","ramipril 5mg tablets","ramipril","ramipril 5mg tablets",,1,,,,,
"2928541000033119","","tensopril 50mg tablets (teva uk ltd)","captopril","tensopril 50mg tablets",,1,,,,,
"216141000033119","","carace 20mg tablets (bristol-myers squibb pharmaceuticals ltd)","lisinopril","carace 20mg tablets",,1,,,,,
"5899041000033115","2050501","captopril 6.25mg/5ml oral suspension","captopril","captopril 6.25mg/5ml oral suspension",,1,,,,,
