code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
134401001,Left ventricular systolic dysfunction,SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
422293003,New York Heart Association Classification - Class IV (finding),SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
10633002,Acute congestive heart failure,SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
698592004,Asymptomatic left ventricular systolic dysfunction (disorder),SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
420913000,New York Heart Association Classification - Class III (finding),SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
420300004,New York Heart Association Classification - Class I (finding),SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
84114007,Heart failure,SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
71892000,Cardiac asthma,SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
92506005,Biventricular congestive heart failure,SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
85232009,Left heart failure,SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
206586007,Congenital cardiac failure,SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
430396006,Chronic systolic dysfunction of left ventricle (disorder),SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
83105008,Malignant hypertensive heart disease with congestive heart failure,SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
717501000000108,Heart failure monitoring verbal invitation (procedure),SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
275514001,Impaired left ventricular function,SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
194767001,Benign hypertensive heart disease with congestive cardiac failure,SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
711461000000104,Heart failure monitoring invitation (procedure),SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
43736008,Rheumatic left ventricular failure,SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
194781004,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
48447003,Chronic heart failure (disorder),SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
446221000,Heart failure with normal ejection fraction (disorder),SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
421704003,New York Heart Association Classification - Class II (finding),SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
195111005,Decompensated cardiac failure,SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
717491000000102,Excepted from heart failure quality indicators - informed dissent (finding),SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
194779001,Hypertensive heart and renal disease with (congestive) heart failure,SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
87837008,Chronic pulmonary heart disease,SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
42343007,Congestive heart failure,SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
314206003,Refractory heart failure (disorder),SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
426263006,Congestive heart failure due to left ventricular systolic dysfunction (disorder),SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
717531000000102,Heart failure monitoring telephone invitation (procedure),SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
56675007,Acute heart failure,SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
I50,Heart failure,ICD10 codes,C2854,7375,CCU002_02 Heart Failure (HF) - Phenotypes - England hospitalization EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""ICD10"", ""code_type"": ""1.0""}]"
I13.0,Hypertensive heart and renal disease with (congestive) heart failure,ICD10 codes,C2854,7375,CCU002_02 Heart Failure (HF) - Phenotypes - England hospitalization EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""ICD10"", ""code_type"": ""1.0""}]"
I13.2,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,ICD10 codes,C2854,7375,CCU002_02 Heart Failure (HF) - Phenotypes - England hospitalization EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""ICD10"", ""code_type"": ""1.0""}]"
I11.0,Hypertensive heart disease with (congestive) heart failure,ICD10 codes,C2854,7375,CCU002_02 Heart Failure (HF) - Phenotypes - England hospitalization EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""ICD10"", ""code_type"": ""1.0""}]"
